,indirizzo_check
1143,LODI
1144,SAN GOTTARDO
1145,GOVERNO PROVVISORIO DI LOMBARDIA
1146,FRATTINI PIETRO
1147,OBERDAN GUGLIELMO
1148,ALESSI GALEAZZO
1149,ARGANINI GEROLAMO
1150,CARABELLI RODOLFO
1151,CARPI EUGENIO
1152,CATALANI ALFREDO
1156,DE ROSSI GIOVANNI BATTISTA
1153,DEI BIANCOSPINI
1154,DEI TRANSITI
1155,DELLE FORZE ARMATE
1157,DURAZZO
1159,F.LLI BRONZETTI
1158,FARA GUSTAVO
1160,FORNI GEROLAMO
1161,
1162,GROSSICH ANTONIO
1163,ISERNIA
1164,LOPEZ SABATINO
1165,LORENTEGGIO
1166,MAINONI D'INTIGNANO LUIGI
1167,MENABREA LUIGI FEDERICO
1168,MENOTTI CIRO
1169,MOSCA ANTONIO
1170,OLGETTINA
1171,OLTROCCHI BALDASSARE
1172,PALERMO
1173,PASTEUR LUIGI
1174,PASTRENGO
1175,PEZZOTTI GIOVANNI
1176,PIACENZA
1177,PIERLUIGI GIOVANNI DA PALESTRINA
1178,PIERLUIGI GIOVANNI DA PALESTRINA
1179,PLINIO CAIO SECONDO
1180,PREVIATI GAETANO
1181,RAVENNA
1182,ROMEO NICOLA
1183,ROMILLI ARCIVESCOVO
1184,SANTI FERNANDO
1185,SAVONA
1186,SAVONA
1187,SPARTACO
1188,URBANO III
1189,WASHINGTON GIORGIO
1190,ZANELLA GIACOMO
1191,ARETUSA
1192,BLIGNY
1193,BLIGNY
1194,CONI ZUGNA
1195,CONI ZUGNA
1196,DELLE RIMEMBRANZE DI GRECO
1197,ESPINASSE CARLO
1198,ETIOPIA
1199,FAMAGOSTA
1200,MONTE NERO
1201,PASUBIO
1202,ROMAGNA
1203,
1204,TIBALDI
1205,UMBRIA
1207,TIRABOSCHI GEROLAMO
1208,VAL MAIRA
1209,VALTELLINA
1210,ESPINASSE CARLO
1211,MONTE NERO
1212,CERVA
1213,FRUGONI CARLO INNOCENZO
1214,GIARDINO GAETANO
1215,SANTA TECLA
1216,FAMAGOSTA
1217,PREMUDA
1218,TUNISIA
1219,UMBRIA
1206,MARGHERA
1220,NAVIGLIO GRANDE
1221,DI PORTA NUOVA
1222,BUENOS AIRES
1224,BUENOS AIRES
1223,BUENOS AIRES
1225,BUENOS AIRES
1226,COMO
1227,CONCORDIA
1228,DI PORTA ROMANA
1229,DI PORTA ROMANA
1230,DI PORTA ROMANA
1231,DI PORTA TICINESE
1232,GARIBALDI GIUSEPPE
1233,GENOVA
1234,INDIPENDENZA
1235,INDIPENDENZA
1236,ITALIA
1237,LODI
1238,LODI
1239,LODI
1240,LODI
1241,LODI
1242,LODI
1243,MAGENTA
1244,MAGENTA
1245,SEMPIONE
1248,VENEZIA
1246,VENEZIA
1247,VENEZIA
1249,VENTIDUE MARZO
1250,VENTIDUE MARZO
1251,VENTIDUE MARZO
1252,VERCELLI
1253,BUONAPARTE
1254,BUENOS AIRES
1255,PASSARELLA
1256,PASSARELLA
1257,BRASILIA
1258,DEI GELSOMINI
1259,DOMODOSSOLA
1260,F.LLI CERVI
1261,PROMESSI SPOSI
1262,SCALABRINI GIOVANNI BATTISTA
1263,ARDUINO
1264,BACONE FRANCESCO
1265,BARACCA FRANCESCO
1266,BIANCAMANO
1267,CANTORE ANTONIO
1268,CHIESA DAMIANO
1269,FERRARA
1270,ISTRIA
1271,ISTRIA
1272,LAGOSTA
1273,LAVATER
1274,LORETO
1275,LORETO
1276,MACIACHINI CARLO
1278,MARTINI FERDINANDO
1277,MARTINI FERDINANDO
1279,MARTINI FERDINANDO
1280,SIENA
1281,SIENA
1282,STAZIONE DI PORTA GENOVA
1283,SUSA
1284,SUSA
1285,
1286,ASPROMONTE
1287,BELFANTI SERAFINO
1288,BETTINI LIONELLO
1289,BONOMELLI GEREMIA
1290,BUOZZI BRUNO
1291,CASTELLI POMPEO
1292,CHIARADIA ENRICO
1293,CHIARADIA ENRICO
1294,CINQUE GIORNATE
1295,DELLA REPUBBLICA
1296,FERRAVILLA EDOARDO
1297,FORTUNATO GIUSTINO
1298,GERUSALEMME
1299,GRAMSCI ANTONIO
1300,GRAMSCI ANTONIO
1301,GRANDI GIUSEPPE
1302,GRANDI GIUSEPPE
1303,GRECO
1304,GUARDI FRANCESCO
1305,IMPERATORE TITO
1306,LIMA
1307,MONTI GIOSIA
1308,NAPOLI
1309,PREALPI
1310,RISORGIMENTO
1311,SAN FEDELE
1312,SAN GIUSEPPE
1313,SAN NAZARO IN BROLO
1316,SANT' AGOSTINO
1315,SANT' AGOSTINO
1314,SANTA FRANCESCA ROMANA
1317,SCHIAVONE ANDREA
1318,SCHIAVONE ANDREA
1319,SCOLARI ROSA
1320,TIRANA
1321,VELASCA
1322,DI PTA TICINESE
1323,DI PTA TICINESE
1324,ABBAZIA
1325,ADIGE
1326,ADIGE
1327,ADRIANO PUBLIO ELIO
1328,AJACCIO
1329,ALBANI FRANCESCO
1330,ALBERTINELLI MARIOTTO
1331,ALBRICCI ALBERICO
1332,ALCIATI AMBROGIO
1333,ALCUINO
1334,ALEARDI ALEARDO
1335,ALSERIO
1336,ALSERIO
1337,AMADEO GIAN ANTONIO
1338,AMADEO GIAN ANTONIO
1339,AMORETTI CARLO
1340,AMPERE ANDREA MARIA
1341,AMPERE ANDREA MARIA
1342,ANFOSSI AUGUSTO
1343,ANFOSSI AUGUSTO
1344,ANGELO DELLA PERGOLA
1345,ANGELONI LUIGI
1346,ANGELONI LUIGI
1347,ANGELONI LUIGI
1348,ANSELMO DA BAGGIO
1349,ANSELMO DA BAGGIO
1350,ANZANI FRANCESCO
1351,APELLE
1352,APPENNINI
1353,
1354,ARBE
1355,ARCHIMEDE
1356,ARCHIMEDE
1357,ARCHIMEDE
1358,ARENA
1359,ARICI CESARE
1360,ARISTOTELE
1361,ARISTOTELE
1362,ARISTOTELE
1363,ARNO' RICCARDO
1364,ARQUA'
1365,ARSIA
1366,ARZAGA
1367,ASIAGO
1368,ASIAGO
1369,ASTESANI ALESSANDRO
1370,BALDINUCCI FILIPPO
1371,BALDINUCCI FILIPPO
1372,BALILLA
1373,BARABINO NICOLO'
1374,BARDELLI GIUSEPPE
1375,BARI
1376,
1377,BARONI COSTANTINO
1378,
1379,BASSI PAOLO
1380,BATTISTI CESARE
1381,BATTISTOTTI SASSI LUISA
1382,BATTISTOTTI SASSI LUISA
1383,BAZZINI ANTONIO
1384,BELINZAGHI GIULIO
1385,BELLARMINO ROBERTO
1386,BELLERIO CARLO
1387,BELLEZZA GIOVANNI
1388,BELLINI GENTILE
1389,BENACO
1390,BENEFATTORI DELL'OSPEDALE
1391,BERGAMO
1392,BERTANI AGOSTINO
1393,
1394,BERUTO CESARE
1395,
1396,BEZZECCA
1397,BIANCHI MOSE'
1398,BINDA AMBROGIO
1399,BINDA AMBROGIO
1400,BIONDI EZIO
1401,BIRAGHI LUIGI
1402,BISI ALBINI SOFIA
1403,BISLERI FELICE
1404,BIXIO NINO
1405,
1406,BONCOMPAGNI CARLO
1407,BONCOMPAGNI CARLO
1408,BONFADINI ROMUALDO
1409,BONFADINI ROMUALDO
1410,BONGHI RUGGERO
1411,BONI GIACOMO
1412,BONI GIACOMO
1413,BONI GIACOMO
1414,BONI GIACOMO
1415,BONI GIACOMO
1416,BORDONI ANTONIO
1417,BORSIERI PIETRO
1418,BOSCOVICH RUGGERO
1419,BOTTA CARLO
1423,BRA'
1420,BRACCIO DA MONTONE
1421,BRAMANTE
1422,BRAMANTE
1424,BRISA
1425,BROGGI GIUSEPPE
1426,BRONZINO
1427,BRUNACCI VINCENZO
1428,BRUNO GIORDANO
1429,BRUZZESI GIACINTO
1430,BUDUA
1431,BUONARROTI MICHELANGELO
1432,BUSCHI AVERARDO
1433,
1434,CADIBONA
1435,CAGLIERO GIOVANNI
1436,CAGLIERO GIOVANNI
1437,CAGNOLA LUIGI
1438,
1439,CALIFORNIA
1440,CALZECCHI TEMISTOCLE
1441,CAMERINI EUGENIO
1442,CAMINADELLA
1443,CANNERO
1444,CANTONI COSTANZO
1445,CAPECELATRO ALFONSO
1446,CAPECELATRO ALFONSO
1447,CAPECELATRO ALFONSO
1448,CAPPONI PIER LUIGI
1449,CAPPONI PIER LUIGI
1450,CARABELLI RODOLFO
1451,CARACCIOLO FRANCESCO
1452,CARCANO GIULIO
1453,
1454,CARDINALE MEZZOFANTI
1455,CARDUCCI GIOSUE'
1456,CARDUCCI GIOSUE'
1457,CARLI GIAN RINALDO
1458,CARLONE CARLO ANTONIO
1459,CARNEVALI ANTONIO
1460,CARNIA
1461,CARNIA
1462,CARONCINI ALBERTO
1463,CARROCCIO
1464,CASCINA BAROCCO
1465,CASCINA BAROCCO
1466,CASCINA BIANCA
1467,CASORETTO
1468,CASORETTO
1469,CASORETTO
1470,CASTALDI PANFILO
1471,CASTALDI PANFILO
1472,CASTALDI PANFILO
1473,CASTEL MORRONE
1474,CATALANI ALFREDO
1475,CAVALCANTI GUIDO
1476,CELIO
1477,CENISIO
1478,CENISIO
1479,CENISIO
1480,CENISIO
1481,CENISIO
1482,CENISIO
1483,
1484,CESARE DA SESTO
1487,CESARI ANTONIO
1485,CESARIANO CESARE
1486,CESARIANO CESARE
1488,CHIANCIANO
1489,
1490,CHINOTTO EDOARDO
1491,CHIOGGIA
1492,CICERI VISCONTI LAURA
1493,CILEA FRANCESCO
1494,CIMABUE GIOVANNI
1495,
1496,CINO DA PISTOIA
1497,CINQUE MAGGIO
1498,CIVITALI MATTEO
1499,CIVITALI MATTEO
1500,COLA DI RIENZO
1501,COLA MONTANO
1502,COLLECCHIO
1503,CONCA DEL NAVIGLIO
1504,CONCHETTA
1505,CONSOLE MARCELLO
1506,CORREGGIO
1507,CORREGGIO
1508,CORREGGIO
1509,CREMA
1510,CREMA
1511,CRESCENZAGO
1512,CRESPI PIETRO
1513,CUCCHIARI DOMENICO
1514,CUCCHIARI DOMENICO
1515,CUZZI GIUSEPPE
1516,DAL RE MARCANTONIO
1517,DAVANZATI BERNARDO
1518,DE AMICIS EDMONDO
1559,DE MARCHI EMILIO
1561,DE RUGGIERO GUIDO
1562,DE SANCTIS FRANCESCO
1563,DE SANCTIS FRANCESCO
1519,
1520,DEGLI ETRUSCHI
1521,DEGLI IMBRIANI
1522,DEGLI UMILIATI
1523,DEGLI ZUCCARO
1524,DEI BIANCOSPINI
1525,DEI CARAFA
1526,DEI CINQUECENTO
1527,DEI CINQUECENTO
1528,DEI CINQUECENTO
1529,DEI FIORDALISI
1530,DEI GRIMANI
1531,DEI PANIGAROLA
1532,
1533,DEL DON
1534,DEL FUSARO
1551,DEL LIRI
1553,DEL TORCHIO
1554,DEL TORCHIO
1555,DEL TORCHIO
1556,DEL TURCHINO
1557,DEL TURCHINO
1558,DEL TURCHINO
1537,DELL' ALLODOLA
1552,DELL' UNIONE
1535,DELLA CAPINERA
1536,DELLA COMMENDA
1538,DELLA PALLA
1539,DELLA SILA
1540,DELLA SPIGA
1541,DELLA TORRE
1542,DELLA TORRE
1543,
1544,DELLE ERBE
1545,DELLE FORZE ARMATE
1546,DELLE FORZE ARMATE
1547,DELLE FORZE ARMATE
1548,
1549,DELLE PRIMULE
1550,DELLE STELLINE
1560,DERNA
1564,DESIDERIO
1565,DIOTTI BENEDETTO
1566,DOLCI CARLO
1567,DOLOMITI
1568,DOMENICHINO
1569,DOMENICHINO
1570,DOMOKOS
1573,DON BOSCO
1574,DON BOSCO
1575,DON RODRIGO
1571,DONATELLO
1572,DONATELLO
1576,DUGNANI ANTONIO
1577,EDOLO
1578,EDOLO
1579,
1580,ESTERLE CARLO
1581,EUSTACHI BARTOLOMEO
1582,EUSTACHI BARTOLOMEO
1599,F.LLI ANTONA TRAVERSI
1600,F.LLI ANTONA TRAVERSI
1601,F.LLI BRONZETTI
1602,F.LLI LUMIERE
1603,F.LLI ZANZOTTERA
1604,F.LLI ZOIA
1583,FAA' DI BRUNO EMILIO
1584,FABRIANO
1585,FACCHINETTI CIPRIANO
1586,FARINI CARLO
1587,FARINI CARLO
1588,FARINI CARLO
1589,FARUFFINI FEDERICO
1590,FAUCHE' GIOVANNI BATTISTA
1592,FELTRE
1591,FELTRE
1593,FERRUCCI FRANCESCO
1594,
1595,FILZI FABIO
1596,FILZI FABIO
1597,FIUGGI
1598,
1605,FOGAZZARO ANTONIO
1606,FONSECA PIMENTEL ELEONORA
1607,FONTANA
1608,FONTANELLI ACHILLE
1609,FOPPA VINCENZO
1610,FOPPA VINCENZO
1611,FOPPA VINCENZO
1612,FORNARI PASQUALE
1614,FRA' CRISTOFORO
1613,FRACASTORO GIROLAMO
1615,FREIKOFEL
1616,FRISI PAOLO
1618,FRIULI
1617,FRIULI
1619,FRIULI
1620,GAFFURIO FRANCHINO
1621,GALENO CLAUDIO
1622,GALLARATE
1623,GALLARATE
1624,GAMBOLOITA
1625,GENTILI ALBERICO
1626,GESSI ROMOLO
1627,GIACOSA GIUSEPPE
1628,
1629,
1630,GIOIA MELCHIORRE
1631,GIOIA MELCHIORRE
1632,GIOIA MELCHIORRE
1633,
1634,GIUBA
1635,GOLA EMILIO
1636,GOLDONI CARLO
1637,GOVONE GIUSEPPE
1638,GOVONE GIUSEPPE
1639,GOZZANO GUIDO
1640,GRAN SAN BERNARDO
1641,GRASSELLI ANNIBALE
1642,GRATOSOGLIO
1643,GRIOLI DON GIOVANNI
1644,GROSSICH ANTONIO
1645,GROSSICH ANTONIO
1646,GUINTELLINO GUGLIELMO
1647,HAYEZ FRANCESCO
1648,HERMADA
1649,HERMADA
1650,IMBONATI CARLO
1651,IMPERIA
1652,INAMA VIRGILIO
1653,INGANNI ANGELO
1654,INGANNI ANGELO
1655,INGANNI ANGELO
1657,INGANNI ANGELO
1656,INGANNI ANGELO
1658,INGEGNOLI FRANCESCO
1659,ISIMBARDI INNOCENZO
1660,JACOPINO DA TRADATE
1661,JACOPINO DA TRADATE
1662,JACOPO DAL VERME
1663,KRAMER ANTONIO
1664,LAGRANGE GIUSEPPE
1665,LAGRANGE GIUSEPPE
1666,LAMARMORA ALFONSO
1667,LAMBRATE
1668,LAMBRO
1669,LANINO BERNARDINO
1670,LARIO
1671,
1672,LAZZARETTO
1673,LAZZARONI GIUSEPPINA
1674,LEGNONE
1675,LEGNONE
1676,LEONCAVALLO RUGGERO
1677,LEPONTINA
1678,LESSONA MICHELE
1679,LIPARI
1680,LIPPI FILIPPINO
1681,LISCATE
1682,LITTA MODIGNANI ALESSANDRO
1683,LIVIGNO
1684,LODOVICO IL MORO
1685,LODOVICO IL MORO
1686,LODOVICO IL MORO
1687,LODOVICO IL MORO
1688,LOMAZZO PAOLO
1689,LOMAZZO PAOLO
1690,LOMBARDINI ELIA
1691,LOMELLINA
1692,LOMELLINA
1693,
1694,LOPEZ SABATINO
1695,LORENTEGGIO
1696,LORENTEGGIO
1697,LORENTEGGIO
1698,LORENTEGGIO
1699,LORENTEGGIO
1700,LORENTEGGIO
1701,LORIA MOISE'
1702,LOSANNA
1703,LULLI GIOVANNI
1704,LUTERO MARTINO
1705,MACCHI MAURO
1706,MACCHI MAURO
1707,MAFFI CARDINALE PIETRO
1708,MAFFUCCI ANGIOLO
1709,MAFFUCCI ANGIOLO
1710,MAGNASCO ALESSANDRO
1711,MAIOCCHI ACHILLE
1712,MALPIGHI MARCELLO
1713,MALPIGHI MARCELLO
1714,MAMBRETTI ANTONIO
1715,MAMBRETTI ANTONIO
1716,MAMIANI TERENZIO
1717,MANGIAGALLI LUIGI
1718,MANTEGNA ANDREA
1719,MARCELLO BENEDETTO
1720,MARCIANO
1721,MARCO D'AGRATE
1722,MARCO D'OGGIONO
1723,MARCONA
1724,MARCONA
1725,MARESCALCHI FERDINANDO
1726,MARGHERA
1727,MARINETTI FILIPPO TOMMASO
1728,MAROCCO PIETRO
1729,MAROCCO PIETRO
1730,MAROCHETTI CARLO
1731,MAROCHETTI CARLO
1732,MARONCELLI PIETRO
1733,MARTINENGO FRANCESCO
1734,MARTIRI OSCURI
1735,MASCHERONI LORENZO
1736,MASOLINO DA PANICALE
1737,MASOTTO UMBERTO
1738,MECENATE
1739,MECENATE
1740,MECENATE
1741,MEDA GIUSEPPE
1742,
1743,MEDEGHINO
1744,MEDEGHINO
1745,MEDEGHINO
1746,MELATO MARIA
1747,MELLONI MACEDONIO
1748,MELZO
1749,MENABREA LUIGI FEDERICO
1750,MENOTTI CIRO
1751,MERAVIGLI
1752,MERCADANTE SAVERIO
1753,MERCADANTE SAVERIO
1754,MERCATO
1755,MEUCCI ANTONIO
1756,MICHELINO DA BESOZZO
1757,MILLELIRE DOMENICO
1758,MINCIO
1759,MODENA GUSTAVO
1760,MODENA GUSTAVO
1761,MOLA PIER FRANCESCO
1762,MOLA PIER FRANCESCO
1763,MOLINO DELLE ARMI
1764,
1765,MONDOVI'
1766,MONFALCONE
1770,MONTE NAPOLEONE
1771,MONTE NAPOLEONE
1772,MONTE PALOMBINO
1773,MONTE POPERA
1774,MONTE ROSA
1775,
1776,MONTE ROTONDO
1777,MONTE SAN GABRIELE
1778,MONTE SAN GENESIO
1779,MONTE SAN GENESIO
1780,MONTE SAN GENESIO
1767,MONTEGANI LODOVICO
1769,MONTEGANI LODOVICO
1768,MONTEGANI LODOVICO
1781,
1782,MORA GIAN GIACOMO
1783,MORGAGNI GIOVANNI BATTISTA
1784,MORGANTINI MARIO
1785,MORONE GEROLAMO
1786,MOROSINI EMILIO
1787,MOROSINI EMILIO
1788,
1789,MOSCATI PIETRO
1790,MURAT GIOACCHINO
1791,MURAT GIOACCHINO
1792,MURATORI LODOVICO
1793,MURATORI LODOVICO
1794,MURATORI LODOVICO
1795,MUSSI GIUSEPPE
1796,
1797,NEGROLI
1798,NICCODEMI DARIO
1799,NICCOLINI GIOVANNI BATTISTA
1800,NOTA ALBERTO
1801,NOVARA
1802,NOVARA
1803,OGLIO
1804,OLONA
1805,ORIANI ALFREDO
1806,ORNATO LUIGI
1807,OROBONI ANTONIO
1808,ORTICA
1809,OVADA
1810,PACINI GIOVANNI
1811,PACINI GIOVANNI
1812,PACINI GIOVANNI
1813,PADOVA
1814,PADOVA
1815,PADOVA
1816,PADOVA
1817,PADOVA
1818,PADOVA
1819,PADOVA
1820,PADOVA
1821,PALAZZI LAZZARO
1823,PALERMO
1822,PALERMO
1824,
1825,PALMA JACOPO
1826,PALMANOVA
1827,PALMANOVA
1828,
1829,PALMIERI NICOLA
1830,PANIZZI ANTONIO
1831,PANTIGLIATE
1832,PAOLO DA CANNOBIO
1833,PARENZO
1834,PARETO VILFREDO
1835,PARINI GIUSEPPE
1836,
1837,PASCARELLA CESARE
1838,PASCOLI GIOVANNI
1839,PASSERONI GIAN CARLO
1840,PAULLO
1841,PELITTI GIUSEPPE
1842,PETROCCHI POLICARPO
1843,PIACENZA
1844,PICCO MADRE ANNA EUGENIA
1845,PIERLUIGI GIOVANNI DA PALESTRINA
1846,PIERLUIGI GIOVANNI DA PALESTRINA
1847,PIERO DELLA FRANCESCA
1848,PIERO DELLA FRANCESCA
1849,PIERO DELLA FRANCESCA
1850,PILO ROSOLINO
1851,PIO II
1852,PISACANE CARLO
1853,PISANELLO
1854,PISANI VITTOR
1855,PISTRUCCI SCIPIONE
1856,PLANA GIOVANNI ANTONIO
1857,PLINIO CAIO SECONDO
1858,PLINIO CAIO SECONDO
1859,PLINIO CAIO SECONDO
1860,PLINIO CAIO SECONDO
1861,
1862,POGGIBONSI
1863,POLA
1864,
1865,POMA CARLO
1866,POMPONAZZI PIETRO
1868,PONALE
1867,PONALE
1869,PONCHIELLI AMILCARE
1870,PONTACCIO
1871,PONTACCIO
1872,PONTE NUOVO
1873,PONTE SEVESO
1874,PONTE SEVESO
1875,PONTE SEVESO
1876,PONTI ANDREA
1877,PONTI DELLA PRIULA
1878,PONTI ETTORE
1879,PONTI ETTORE
1880,POPOLI UNITI
1881,PORDENONE
1882,PORDENONE
1883,PORPORA NICOLA ANTONIO
1884,PORPORA NICOLA ANTONIO
1885,PORPORA NICOLA ANTONIO
1886,PORPORA NICOLA ANTONIO
1887,PORPORA NICOLA ANTONIO
1888,PORTINARI PIGELLO
1889,PREDA PIERO
1890,PRESTINARI MARCELLO
1891,PREVIATI GAETANO
1892,PRIMATICCIO FRANCESCO
1893,
1894,PROCACCINI GIULIO CESARE
1895,PROCACCINI GIULIO CESARE
1896,PROCACCINI GIULIO CESARE
1897,PROCOPIO
1898,PULCI LUIGI
1899,QUADRONNO
1900,QUARENGHI GIACOMO
1901,QUINTO ROMANO
1902,QUINTO ROMANO
1903,RASORI GIOVANNI
1904,RASORI GIOVANNI
1905,RASORI GIOVANNI
1906,RAVIZZA CARLO
1907,REGALDI GIUSEPPE
1908,REMBRANDT
1909,REMBRANDT
1910,REMBRANDT
1911,REMBRANDT
1912,REMBRANDT
1913,REMBRANDT
1914,REMBRANDT
1915,REZIA
1916,RICCIARELLI DANIELE
1917,RICORDI GIOVANNI
1918,RIMINI
1919,RIMINI
1920,RIPAMONTI GIUSEPPE
1921,RIPAMONTI GIUSEPPE
1922,RIPAMONTI GIUSEPPE
1923,RIPAMONTI GIUSEPPE
1924,RIPAMONTI GIUSEPPE
1925,RIPAMONTI GIUSEPPE
1926,RIPAMONTI GIUSEPPE
1927,RIPAMONTI GIUSEPPE
1928,
1929,RISMONDO FRANCESCO
1930,RISMONDO FRANCESCO
1931,RISMONDO FRANCESCO
1932,RISMONDO FRANCESCO
1933,RIVA DI TRENTO
1934,ROCCA D'ANFO
1935,ROMBON
1936,ROMBON
1937,ROMBON
1938,ROMEO NICOLA
1939,ROMILLI ARCIVESCOVO
1940,ROMILLI ARCIVESCOVO
1941,RONCAGLIA
1942,RONCHI
1943,RONCHI
1944,
1945,ROSMINI ANTONIO
1946,
1947,ROSSI PELLEGRINO
1948,ROSSI PELLEGRINO
1949,ROSSI PELLEGRINO
1950,ROVERETO
1951,RUBENS PIETRO
1952,RUCELLAI BERNARDO
1953,RUCELLAI BERNARDO
1954,RUGGERO DI LAURIA
1955,RUSSO VINCENZO
2011,S. GIOV. SUL MURO
1956,SACCO LUIGI
1957,SAINT BON SIMONE
1958,SALVEMINI GAETANO
1959,SALVINI TOMMASO
1960,
1961,SAMMARTINI GIOVANNI BATTISTA
1962,SAN BERNARDO
1963,SAN FAUSTINO
1965,SAN GREGORIO
1966,SAN MAMETE
1967,SAN MARCO
1968,SAN MARTINO
1969,SAN MAURILIO
1970,SAN PAOLINO
1971,SAN PIETRO ALL'ORTO
1972,SAN SIRO
1980,SAN TOMASO
1981,SAN TOMASO
1964,SANFELICE LUISA
1974,SANT' AMPELLIO
1975,SANT' ANDREA
1982,SANT' UGUZZONE
1973,SANTA MONICA
1976,SANTA RADEGONDA
1977,SANTA RITA DA CASCIA
1978,SANTA SOFIA
1979,
1983,SANZIO RAFFAELLO
1984,SANZIO RAFFAELLO
1985,SAPONARO MICHELE
1986,SAPRI
1987,SARDEGNA
1988,SATTA SEBASTIANO
1989,SAULI SANT' ALESSANDRO
1990,SAVOLDO GIAN GIROLAMO
1991,SAVONA
1992,SAVONA
1993,SAVONA
1994,SCALVINI GIOVITA
1995,SCANINI ALESSANDRO
1996,SCROSATI LUIGI
1997,SEBASTIANO DEL PIOMBO
1998,SEBENICO
1999,SEBINO
2000,SEBINO
2001,SENATO
2002,SERAO MATILDE
2003,SERCOGNANI GIUSEPPE
2004,SERLIO SEBASTIANO
2005,SETTALA LODOVICO
2006,SETTALA LODOVICO
2009,SETTEMBRINI LUIGI
2007,SETTEMBRINI LUIGI
2008,SETTEMBRINI LUIGI
2010,SFORZA ASCANIO
2012,SIGIERI GOFFREDO
2013,SILVA GUGLIELMO
2014,SILVA GUGLIELMO
2015,SILVA GUGLIELMO
2016,SIMONETTA CICCO
2017,SIRTORI GIUSEPPE
2018,SISMONDI GIANCARLO
2019,SISMONDI GIANCARLO
2020,SLATAPER SCIPIO
2021,SODERINI LUIGI
2022,SODERINI LUIGI
2023,SOLARI ANDREA
2024,SOLARI ANDREA
2025,SOLARI ANDREA
2026,SOLARI ANDREA
2027,SOLARI ANDREA
2028,SOLFERINO
2029,SOTTOCORNO PASQUALE
2030,SOTTOCORNO PASQUALE
2031,SPARTACO
2032,SPONTINI GASPARE
2033,STAMPA
2034,STAZIO CECILIO
2035,STEPHENSON GIORGIO
2036,STOPPANI ANTONIO
2037,STOPPANI ANTONIO
2038,STRADELLA ALESSANDRO
2039,STRESA
2040,SULMONA
2041,TADINO ALESSANDRO
2042,TAGIURA
2043,TAGLIAMENTO
2044,TARRA GIULIO
2045,TARTINI GIUSEPPE
2046,TAVAZZANO
2047,TAVAZZANO
2049,TEANO
2048,TEANO
2050,TEODOSIO
2051,TEODOSIO
2052,TEODOSIO
2053,TERAMO
2054,TERTULLIANO
2055,TEULIE' PIETRO
2056,THAON DI REVEL GENOVA
2057,TIEPOLO GIAN BATTISTA
2058,TIRABOSCHI GEROLAMO
2059,TIRSO
2060,TITO LIVIO
2061,
2062,TOLSTOI LEONE
2063,TOLSTOI LEONE
2064,TORRE CARLO
2065,TORRICELLI EVANGELISTA
2066,TOSCOLANO
2067,TRAIANO MARCO ULPIO
2068,TRAIANO MARCO ULPIO
2069,TRAU'
2070,TRIESTE
2071,TRILUSSA
2072,TRIVULZIO ANTONIO TOLOMEO
2073,UBERTI GIULIO
2074,UGONI CAMILLO
2075,VAL BAVONA
2076,VAL CISMON
2078,VAL D'INTELVI
2077,VAL DI BONDO
2079,VAL DI SOLE
2080,VAL DI SOLE
2082,VAL GARDENA
2089,VAL LEVENTINA
2090,VAL MAIRA
2091,VAL MESOLCINA
2094,VAL TROMPIA
2095,VAL TROMPIA
2096,VAL TROMPIA
2081,VALFURVA
2083,VALLA LORENZO
2084,
2085,VALLARSA
2086,VALLAZZE
2087,VALLAZZE
2088,VALLAZZE
2092,VALPARAISO
2093,
2097,VANVITELLI LUIGI
2098,
2099,VARANINI LUIGI
2100,VARANINI LUIGI
2101,VARESE
2102,VARESE
2103,VENEZIANO DOMENICO
2104,VENIERO SEBASTIANO
2105,VENINI GIULIO E CORRADO
2106,VENINI GIULIO E CORRADO
2107,VENINI GIULIO E CORRADO
2108,VENINI GIULIO E CORRADO
2109,VENINI GIULIO E CORRADO
2110,VENOSA
2111,VERATTI LUIGI
2112,VERGA ANDREA
2113,VERITA' DON GIOVANNI
2114,VERRO BERNARDINO
2115,VERRO BERNARDINO
2116,VESPRI SICILIANI
2117,VESPRI SICILIANI
2118,
2119,VIGEVANO
2120,VIGNA
2121,VIGNATI CESARE
2122,VIGNOLA
2123,VIGNOLI TITO
2124,VILLORESI EUGENIO
2125,VILLORESI EUGENIO
2126,VIPACCO
2127,
2128,VISCONTI D'ARAGONA ALESSANDRO
2129,VISCONTI DI MODRONE UBERTO
2130,VITRUVIO
2131,VIVAIO
2132,VODICE
2133,VOLTURNO
2134,VOLVINIO
2135,WASHINGTON GIORGIO
2136,WASHINGTON GIORGIO
2137,
2138,ZANOLI ALESSANDRO
2139,ZANOLI ALESSANDRO
2140,ZANTE
2141,ZEZON ACHILLE
2142,ZURETTI GIANFRANCO
2143,ZURETTI GIANFRANCO
2144,ZURETTI GIANFRANCO
2145,ZURETTI GIANFRANCO
2146,ABRUZZI
2147,ABRUZZI
2148,ABRUZZI
2149,ABRUZZI
2150,ARETUSA
2151,ARGONNE
2152,ARGONNE
2153,ARGONNE
2154,BACCHIGLIONE
2155,BEZZI ERGISTO
2156,BLIGNY
2157,BLIGNY
2158,BODIO LUIGI
2159,BRENTA
2160,BRENTA
2161,BRIANZA
2162,BRIANZA
2163,CA' GRANDA
2164,CALDARA EMILIO
2165,CAMPANIA
2166,CAMPANIA
2167,CATERINA DA FORLI'
2168,CATERINA DA FORLI'
