Ubicazione
PZA ASPARI DOMENICO N. 2 ; (z.d. 3)
PZA ASPROMONTE N. 31 ; (z.d. 3)
PZA ASPROMONTE N. 35 ; (z.d. 3)
PZA ASPROMONTE N. 45 piano terra ed interrato; (z.d. 3)
PZA BAZZI GIOVANNI ANTONIO N. 2 ; (z.d. 6)
PZA BELFANTI SERAFINO N. 2 ; (z.d. 6)
PZA BETTINI LIONELLO N. 5 ; (z.d. 7)
PZA BOLIVAR SIMONE N. 10 ; (z.d. 6)
PZA BOLIVAR SIMONE N. 6 (z.d. 6)
PZA BONOMELLI GEREMIA N. 4 ; (z.d. 5)
PZA BORROMEO N. 5 (z.d. 1)
PZA BRUZZANO N. 4 (z.d. 9)
PZA BUOZZI BRUNO N. 5 ; (z.d. 4)
PZA CAIAZZO N. 2 1ø piano; (z.d. 3)
PZA CAIAZZO N. 2 ingresso via gaffurio; (z.d. 3)
PZA CAIAZZO N. 2 uso escl. del serv. ig. ester.; (z.d. 3)
PZA CARRARA FRANCESCO N. 21 ; (z.d. 5)
PZA CARTAGINE N. 4 (z.d. 4)
PZA CASTELLI POMPEO N. 14 ; (z.d. 8)
PZA CHIARADIA ENRICO N. 12 con ingresso via antonini 66; (z.d. 5)
PZA CHIARADIA ENRICO N. 9 (z.d. 5)
PZA CHIARADIA ENRICO N. 9 ; (z.d. 5)
PZA CINCINNATO N. 4 ; (z.d. 3)
PZA CINQUE GIORNATE N. 1A (z.d. 1)
PZA CINQUE GIORNATE N. 3 ; (z.d. 1)
PZA CINQUE GIORNATE N. 6 ; (z.d. 1)
PZA CINQUE GIORNATE N. 7 (z.d. 4)
PZA DE ANGELI ERNESTO N. 1 (z.d. 7)
PZA DE ANGELI ERNESTO N. 1 ; (z.d. 7)
PZA DE ANGELI ERNESTO N. 1 con ingresso in galleria; (z.d. 7)
PZA DE ANGELI ERNESTO N. 3 ; (z.d. 7)
PZA DE ANGELI ERNESTO N. 3 con ingr. galleria de angeli; (z.d. 7)
PZA DEI MERCANTI num.021; (z.d. 1)
PZA DEI VOLONTARI N. 3 ; (z.d. 1)
PZA DEL DUOMO N. 17 ; (z.d. 1)
PZA DEL ROSARIO N. 1 ; (z.d. 6)
PZA DEL TRICOLORE N. 4 ; (z.d. 1)
PZA DELLA REPUBBLICA N. 1 piano terra; (z.d. 1)
PZA DELLA REPUBBLICA N. 17 interno hotel principe savoia; (z.d. 2)
PZA DELLA REPUBBLICA N. 1A (z.d. 1)
PZA DELLA REPUBBLICA N. 20 interno hotel westin palace; (z.d. 2)
PZA DELLA REPUBBLICA N. 32 (z.d. 2)
PZA DELLA TRIVULZIANA N. 1 ; (z.d. 9)
PZA DERGANO N. 2 altro locale; (z.d. 9)
PZA DERGANO N. 9 ; (z.d. 9)
PZA DUCA D'AOSTA N. 9 int.hotel gallia; (z.d. 2)
PZA FERRAVILLA EDOARDO N. 3 ; (z.d. 3)
PZA FIDIA N. 3 (z.d. 9)
PZA FORTUNATO GIUSTINO N. 9 ; (z.d. 9)
PZA FRATTINI PIETRO N. 15 ; (z.d. 6)
PZA FRATTINI PIETRO N. 19 ; (z.d. 6)
PZA FUSINA ANDREA N. 2 ; (z.d. 3)
PZA GASPARRI PIETRO N. 4 ; (z.d. 9)
PZA GERUSALEMME N. 2 ; (z.d. 8)
PZA GRAMSCI ANTONIO N. 12 ; (z.d. 8)
PZA GRAMSCI ANTONIO N. 2 ; (z.d. 8)
PZA GRAMSCI ANTONIO N. 3 ; (z.d. 8)
PZA GRAMSCI ANTONIO N. 4 ; (z.d. 8)
PZA GRAMSCI ANTONIO N. 5 ; (z.d. 8)
